,Date,Q
214,1923-05-03,49.0
215,1923-05-04,50.3
216,1923-05-05,52.8
217,1923-05-06,55.3
218,1923-05-07,43.1
219,1923-05-08,137.0
220,1923-05-09,260.0
221,1923-05-10,302.0
222,1923-05-11,250.0
223,1923-05-12,260.0
224,1923-05-13,221.0
225,1923-05-14,208.0
226,1923-05-15,194.0
227,1923-05-16,203.0
228,1923-05-17,130.0
229,1923-05-18,122.0
230,1923-05-19,102.0
231,1923-05-20,79.1
232,1923-05-21,108.0
233,1923-05-22,96.3
234,1923-05-23,84.6
235,1923-05-24,73.6
236,1923-05-25,62.8
237,1923-05-26,57.8
238,1923-05-27,52.8
239,1923-05-28,47.8
240,1923-05-29,45.4
241,1923-05-30,43.1
242,1923-05-31,43.1
243,1923-06-01,40.8
244,1923-06-02,38.6
245,1923-06-03,36.4
246,1923-06-04,39.0
247,1923-06-05,50.0
248,1923-06-06,45.0
249,1923-06-07,42.0
250,1923-06-08,40.0
251,1923-06-09,48.0
252,1923-06-10,46.0
253,1923-06-11,50.0
254,1923-06-12,43.0
255,1923-06-13,44.0
256,1923-06-14,45.0
257,1923-06-15,47.0
258,1923-06-16,52.0
259,1923-06-17,57.8
260,1923-06-18,57.8
261,1923-06-19,60.3
262,1923-06-20,68.1
263,1923-06-21,90.1
264,1923-06-22,68.1
265,1923-06-23,55.3
266,1923-06-24,62.8
267,1923-06-25,73.6
268,1923-06-26,90.1
269,1923-06-27,68.1
270,1923-06-28,52.8
271,1923-06-29,55.3
272,1923-06-30,52.8
273,1923-07-01,47.8
274,1923-07-02,57.8
275,1923-07-03,95.9
276,1923-07-04,115.0
277,1923-07-05,137.0
278,1923-07-06,122.0
279,1923-07-07,102.0
280,1923-07-08,79.1
281,1923-07-09,73.6
282,1923-07-10,73.6
283,1923-07-11,79.1
284,1923-07-12,62.8
285,1923-07-13,62.8
286,1923-07-14,60.3
287,1923-07-15,60.3
288,1923-07-16,61.6
289,1923-07-17,62.8
290,1923-07-18,57.8
291,1923-07-19,52.8
292,1923-07-20,50.3
293,1923-07-21,50.3
294,1923-07-22,60.3
